,Model,Best Threshold,F1 Score,Accuracy,Recall,Precision
0,Decsion Tree,0.05263157894736842,0.9001051930630481,0.9089829942141638,0.8201114960519142,0.9973907092137907
1,Logistic Regression,0.42105263157894735,0.9397675174181438,0.9413150906564901,0.9156217575576385,0.965221260265846
2,Random Forest,0.05263157894736842,0.9563895538827042,0.9578724302270369,0.9238696516188031,0.9912823609329006
3,Naive Bayes,0.05263157894736842,0.89863029205343,0.9055097339218824,0.8376448657299123,0.9691932037847187
